,id,month,year,document_type,headline,byline,page,pub_date,word_count
16,4fc03b9245c1498b0d1e86ad,1,1905,article,Cruise of the Griffin.; THE LOG OF THE GRIFFIN. The Story of a Cruise from the Alps to the Thames. By Donald Maxwell. With illustrations by the author and Cuttington Taylor. Cloth. Decorated cover. Pp. 304. New York: John Lane. $2.,na,BR16,1905-01-07T00:00:00Z,412
17,4fc03b9245c1498b0d1e86bc,1,1905,article,A FEW EXTRACTS:,na,BR4,1905-01-07T00:00:00Z,2455
18,4fc045fc45c1498b0d2162ae,1,1905,article,Some Foreign Resorts.,na,BR2,1905-01-07T00:00:00Z,436
19,4fc047fa45c1498b0d21ffce,1,1905,article,"Some ""New Thought.""; THE MEASURE OF A MAN. By Charles Brodie Patterson, editor of ""Mind."" 12mo. Pp. 297. New York: Funk & Wagnalls Co. $1.20.",na,BR5,1905-01-07T00:00:00Z,386
20,4fc0499e45c1498b0d226c47,1,1905,article,The Ku-Klux Klan.,na,BR8,1905-01-07T00:00:00Z,124
21,4fc054ce45c1498b0d258b61,1,1905,article,OLD CHINA.; Arthur Judson Brown's Book About the New Forces Now Developing There.*,na,BR3,1905-01-07T00:00:00Z,1302
22,4fc054ce45c1498b0d258b6a,1,1905,article,Japan's Monthly Blossoms.,na,BR11,1905-01-07T00:00:00Z,352
23,4fc054ce45c1498b0d258b70,1,1905,article,Haeckel's New Book.,na,BR8,1905-01-07T00:00:00Z,128
24,4fc03b9245c1498b0d1e86a5,1,1905,article,Review 8 -- No Title,GEORGE ASHBY,BR10,1905-01-07T00:00:00Z,340
25,4fc03b9245c1498b0d1e86b4,1,1905,article,"""GENEVRA.""; A New Story of Cornwall by the Author of ""The Column""*",na,BR16,1905-01-07T00:00:00Z,1033
26,4fc045fc45c1498b0d2162a4,1,1905,article,BOSTON NOTES.; Some Atlantic Articles for February -- Books Announced for Spring Publication.,STEPHENSON BROWNE,BR11,1905-01-07T00:00:00Z,1031
27,4fc045fc45c1498b0d2162ad,1,1905,article,Much Ado About an Index.,R.L.C. WHITE,BR10,1905-01-07T00:00:00Z,508
28,4fc045fc45c1498b0d2162b3,1,1905,article,Review 9 -- No Title,E.F. HILTON,BR10,1905-01-07T00:00:00Z,151
29,4fc045fc45c1498b0d2162bc,1,1905,article,"""Bob, Son of Battle.""",na,BR9,1905-01-07T00:00:00Z,222
30,4fc047fa45c1498b0d21ffc6,1,1905,article,Review 7 -- No Title,H. HOOKER ACHESON,BR10,1905-01-07T00:00:00Z,174
31,4fc0499e45c1498b0d226c46,1,1905,article,Henry James.,O.S.P,BR10,1905-01-07T00:00:00Z,245
32,4fc03b9245c1498b0d1e86b5,1,1905,article,Review 4 -- No Title,na,BR1,1905-01-07T00:00:00Z,49
33,4fc045fc45c1498b0d2162a3,1,1905,article,Review 6 -- No Title,ALFRED H. GALE,BR10,1905-01-07T00:00:00Z,379
34,4fc047fa45c1498b0d21ffc7,1,1905,article,"Miss Knapp's ""Upland Pastures.""",na,BR11,1905-01-07T00:00:00Z,224
35,4fc0499e45c1498b0d226c4e,1,1905,article,"A $20,000 Book.",na,BR8,1905-01-07T00:00:00Z,270
36,4fc054ce45c1498b0d258b5d,1,1905,article,CERVANTES.,na,BR8,1905-01-07T00:00:00Z,665
37,4fc054ce45c1498b0d258b72,1,1905,article,THE PUBLISHERS.; Plans of Some of Them -- Forthcoming New Books.,na,BR15,1905-01-07T00:00:00Z,1336
38,4fc03b9245c1498b0d1e86b6,1,1905,article,"ABOUT AUTHORS.; What Some of Them Are Saying, Writing, or Planning.",na,BR15,1905-01-07T00:00:00Z,1402
39,4fc03b9245c1498b0d1e86c5,1,1905,article,A Novel of New York.,na,BR9,1905-01-07T00:00:00Z,152
40,4fc045fc45c1498b0d2162a2,1,1905,article,Books That Sell Well.,na,BR10,1905-01-07T00:00:00Z,99
41,4fc045fc45c1498b0d2162ab,1,1905,article,"Michaelis's ""Andrea.""",na,BR15,1905-01-07T00:00:00Z,126
42,4fc045fc45c1498b0d2162b1,1,1905,article,"""London as an Art City.""",na,BR14,1905-01-07T00:00:00Z,384
43,4fc047fa45c1498b0d21ffc8,1,1905,article,"""Leycester's Commonwealth.""",na,BR11,1905-01-07T00:00:00Z,380
44,4fc054ce45c1498b0d258b5e,1,1905,article,Shakespeare's Sonnets.,na,BR11,1905-01-07T00:00:00Z,674
45,4fc054ce45c1498b0d258b64,1,1905,article,New Fiction for the Century.,na,BR8,1905-01-07T00:00:00Z,100
46,4fc054ce45c1498b0d258b65,1,1905,article,Three Little Handbooks.,na,BR9,1905-01-07T00:00:00Z,224
47,4fc03b9245c1498b0d1e86a8,1,1905,article,"MEN OF ILLINOIS.; Mr. Clark Carr's Book About Statesmen, Jurists, and Soldiers He Calls Illini.*",na,BR16,1905-01-07T00:00:00Z,1584
